Overpotential,Ln(k)
-15.61752988,-5.646067416
-14.88446215,-5.688202247
-14.0876494,-5.797752809
-13.29083665,-5.873595506
-12.4940239,-5.882022472
-11.72908367,-5.898876404
-10.93227092,-6.058988764
-10.10358566,-6.176966292
-9.338645418,-6.278089888
-8.573705179,-6.421348315
-7.77689243,-6.530898876
-6.948207171,-6.632022472
-5.896414343,-6.648876404
-5.003984064,-6.792134831
-4.270916335,-7.103932584
-3.378486056,-7.365168539
-3.059760956,-7.66011236
-2.549800797,-7.828651685
-2.135458167,-8.334269663
-1.752988048,-8.671348315
1.912350598,-8.005617978
2.677290837,-7.390449438
3.505976096,-6.81741573
4.302788845,-6.547752809
5.067729084,-6.370786517
6.565737052,-6.126404494
7.362549801,-5.949438202
8.06374502,-5.848314607
8.828685259,-5.797752809
9.561752988,-5.730337079
10.35856574,-5.536516854
11.05976096,-5.443820225
11.72908367,-5.334269663
12.55776892,-5.325842697
13.25896414,-5.300561798
14.02390438,-5.199438202
14.75697211,-5.157303371